Date Time,Decimal Time [mins],Time(mins),Temperature Setpoint [°C],Temperature Actual [°C],Reactor3 Transmission [%]
8/19/22 14:12,0:02:47,2.78,20,20,100
8/19/22 14:12,0:02:48,2.80,20,20,100
8/19/22 14:12,0:02:52,2.87,20,20,86
8/19/22 14:12,0:02:53,2.88,20,20,86
8/19/22 14:12,0:02:54,2.90,20,20,87
8/19/22 14:12,0:02:55,2.92,20,20,87
8/19/22 14:12,0:02:56,2.93,20,20,88
8/19/22 14:12,0:02:57,2.95,20,20,87
8/19/22 14:12,0:02:58,2.97,20,20,89
8/19/22 14:12,0:02:59,2.98,20,20,87
8/19/22 14:12,0:03:00,3.00,20,20,89
8/19/22 14:12,0:03:01,3.02,20,20,89
8/19/22 14:12,0:03:02,3.03,20,20,88
8/19/22 14:12,0:03:03,3.05,20.1,20,88
8/19/22 14:12,0:03:04,3.07,20.1,20,87
8/19/22 14:12,0:03:05,3.08,20.1,20,89
8/19/22 14:13,0:03:06,3.10,20.1,20,87
8/19/22 14:13,0:03:07,3.12,20.1,20,88
8/19/22 14:13,0:03:08,3.13,20.1,20,87
8/19/22 14:13,0:03:09,3.15,20.1,20.1,88
8/19/22 14:13,0:03:10,3.17,20.1,20.1,89
8/19/22 14:13,0:03:11,3.18,20.1,20.1,87
8/19/22 14:13,0:03:12,3.20,20.1,20.1,87
8/19/22 14:13,0:03:13,3.22,20.1,20.1,88
8/19/22 14:13,0:03:14,3.23,20.1,20.1,88
8/19/22 14:13,0:03:15,3.25,20.2,20.1,87
8/19/22 14:13,0:03:16,3.27,20.2,20.1,87
8/19/22 14:13,0:03:17,3.28,20.2,20.1,89
8/19/22 14:13,0:03:18,3.30,20.2,20.1,89
8/19/22 14:13,0:03:19,3.32,20.2,20.1,88
8/19/22 14:13,0:03:20,3.33,20.2,20.1,87
8/19/22 14:13,0:03:21,3.35,20.2,20.1,89
8/19/22 14:13,0:03:22,3.37,20.2,20.1,89
8/19/22 14:13,0:03:23,3.38,20.2,20.1,87
8/19/22 14:13,0:03:24,3.40,20.2,20.2,86
8/19/22 14:13,0:03:25,3.42,20.2,20.2,89
8/19/22 14:13,0:03:26,3.43,20.2,20.1,89
8/19/22 14:13,0:03:27,3.45,20.3,20.1,89
8/19/22 14:13,0:03:28,3.47,20.3,20.1,88
8/19/22 14:13,0:03:30,3.50,20.3,20.2,89
8/19/22 14:13,0:03:31,3.52,20.3,20.2,88
8/19/22 14:13,0:03:33,3.55,20.3,20.2,88
8/19/22 14:13,0:03:34,3.57,20.3,20.2,87
8/19/22 14:13,0:03:35,3.58,20.3,20.2,88
8/19/22 14:13,0:03:36,3.60,20.3,20.2,88
8/19/22 14:13,0:03:37,3.62,20.3,20.2,89
8/19/22 14:13,0:03:38,3.63,20.3,20.2,89
8/19/22 14:13,0:03:40,3.67,20.4,20.2,89
8/19/22 14:13,0:03:41,3.68,20.4,20.2,89
8/19/22 14:13,0:03:42,3.70,20.4,20.3,89
8/19/22 14:13,0:03:44,3.73,20.4,20.3,89
8/19/22 14:13,0:03:45,3.75,20.4,20.3,87
8/19/22 14:13,0:03:46,3.77,20.4,20.3,88
8/19/22 14:13,0:03:47,3.78,20.4,20.3,88
8/19/22 14:13,0:03:48,3.80,20.4,20.3,89
8/19/22 14:13,0:03:49,3.82,20.4,20.3,87
8/19/22 14:13,0:03:50,3.83,20.4,20.3,89
8/19/22 14:13,0:03:51,3.85,20.5,20.3,89
8/19/22 14:13,0:03:52,3.87,20.5,20.3,88
8/19/22 14:13,0:03:53,3.88,20.5,20.3,88
8/19/22 14:13,0:03:54,3.90,20.5,20.4,88
8/19/22 14:13,0:03:55,3.92,20.5,20.4,88
8/19/22 14:13,0:03:56,3.93,20.5,20.4,89
8/19/22 14:13,0:03:57,3.95,20.5,20.4,87
8/19/22 14:13,0:03:58,3.97,20.5,20.4,89
8/19/22 14:13,0:03:59,3.98,20.5,20.4,89
8/19/22 14:13,0:04:00,4.00,20.5,20.4,87
8/19/22 14:13,0:04:01,4.02,20.5,20.4,89
8/19/22 14:13,0:04:02,4.03,20.5,20.4,88
8/19/22 14:13,0:04:03,4.05,20.6,20.4,88
8/19/22 14:13,0:04:04,4.07,20.6,20.4,89
8/19/22 14:13,0:04:05,4.08,20.6,20.5,88
8/19/22 14:14,0:04:06,4.10,20.6,20.5,89
8/19/22 14:14,0:04:07,4.12,20.6,20.5,87
8/19/22 14:14,0:04:08,4.13,20.6,20.5,88
8/19/22 14:14,0:04:09,4.15,20.6,20.5,87
8/19/22 14:14,0:04:10,4.17,20.6,20.5,88
8/19/22 14:14,0:04:11,4.18,20.6,20.5,89
8/19/22 14:14,0:04:14,4.23,20.6,20.5,89
8/19/22 14:14,0:04:15,4.25,20.7,20.5,88
8/19/22 14:14,0:04:16,4.27,20.7,20.5,87
8/19/22 14:14,0:04:17,4.28,20.7,20.5,87
8/19/22 14:14,0:04:18,4.30,20.7,20.6,89
8/19/22 14:14,0:04:19,4.32,20.7,20.6,87
8/19/22 14:14,0:04:20,4.33,20.7,20.6,87
8/19/22 14:14,0:04:21,4.35,20.7,20.6,87
8/19/22 14:14,0:04:22,4.37,20.7,20.6,89
8/19/22 14:14,0:04:24,4.40,20.7,20.6,89
8/19/22 14:14,0:04:25,4.42,20.7,20.6,88
8/19/22 14:14,0:04:26,4.43,20.7,20.6,89
8/19/22 14:14,0:04:27,4.45,20.8,20.6,87
8/19/22 14:14,0:04:28,4.47,20.8,20.6,88
8/19/22 14:14,0:04:29,4.48,20.8,20.7,87
8/19/22 14:14,0:04:30,4.50,20.8,20.7,88
8/19/22 14:14,0:04:31,4.52,20.8,20.7,88
8/19/22 14:14,0:04:32,4.53,20.8,20.7,89
8/19/22 14:14,0:04:33,4.55,20.8,20.7,87
8/19/22 14:14,0:04:34,4.57,20.8,20.7,87
8/19/22 14:14,0:04:35,4.58,20.8,20.7,88
8/19/22 14:14,0:04:36,4.60,20.8,20.7,87
8/19/22 14:14,0:04:37,4.62,20.8,20.7,87
8/19/22 14:14,0:04:38,4.63,20.8,20.7,88
