ID,SMILES,Tg,Melting,decomposition T,density (g/cc),cohesive energy density (Cal/cc),FFV,Tensile,Young,P_N2 (barrer),P_O2 (barrer),alpha_O/N
1,CC(C)(C)C1=CC(O[*])=C2C(=C1)C(C)(C)CC21CC(C)(C)C2=CC(C(C)(C)C)=C(OCC3=C(C4=CC=C(C(N)=O)C=C4)N(C4=CC=C(C5(C6=CC=C(N7C=C([*])N=N7)C=C6)C6=CC=CC=C6C6=CC=CC=C65)C=C4)N=N3)C=C21,543,593,757,1.1,81,0.2,95.7,2973.16,5.3,30.6,5.773584906
2,CC(C)(C)C1=C(O[*])C=C2C(=C1)C(C)(C)CC21CC(C)(C)C2=C1C=C(OCC1=CN(C3=CC=C(C4(C5=CC=C(N6C=C([*])N=N6)C=C5)C5=CC=CC=C5C5=CC=CC=C54)C=C3)N=N1)C(C(C)(C)C)=C2,506,572,747,1.1,86.1,0.23,96.1,3317.75,4.3,17.3,4.023255814
3,COC1=CC2=C(C(C)(C)CC23CC(C)(C4=CC(C5=CN(N=N5)C6=CC=C(C=C6)C7(C8=CC=CC=C8C9=CC=CC=C97)C%10=CC=C(C=C%10)N%11C=C(N=N%11)[*])=C(C=C43)OC)C)C=C1[*],545,571,738,1.2,101.1,0.21,92.9,3514.17,5.7,22.3,3.912280702
4,COC1=CC2=C(C=C1OC)C1(C3=CC([*])=CC=C23)C2=CC(C3=CN(C4=CC=C(C5(C6=CC=C(N7C=C([*])N=N7)C=C6)C6=CC=CC=C6C6=CC=CC=C65)C=C4)N=N3)=CC=C2C2=CC(OC)=C(OC)C=C21,553,333,706,1.3,87.2,0.19,100,3542.72,12.2,46.4,3.803278689
5,CC6(C)CC4(CC(C)(C)c3cc2oc1c(C#N)c([g])c([t])c(C#N)c1oc2cc34)c5cc(O[d])c(O[e])cc56,649,434,676,1.2,118.3,0.2,87.3,3635.83,344.7,1072,3.109950682
6,[*]Nc3ccc2c1cc(OC)c(OC)cc1C8(c2c3)c6cc(Nc5ccc(c4ccc([*])c(C)c4)cc5C)ccc6c7cc(OC)c(OC)cc78,536,400,630,1.2,94.4,0.17,58,3407.41,4.4,12.3,2.795454545
7,COC1=CC2=C(C=C1OC)C1(C3=CC(N[*])=CC=C23)C2=CC(NC3=CC=C(C4=CC=C([*])C=C4C)C(C)=C3)=CC=C2C2=CC(OC)=C(OC)C=C21,545,424,631,1.2,91.5,0.18,59.5,3688.69,3.6,10.8,3
8,COC1=CC2=C(C=C1OC)C1(C3=CC(N[*])=CC=C23)C2=CC(NC3=CC(C)=C([*])C=C3C)=CC=C2C2=CC(OC)=C(OC)C=C21,543,354,587,1.2,94.2,0.17,108.3,3506.63,10.1,24.3,2.405940594
9,COC1=CC2=C(C=C1OC)C1(C3=CC(N[*])=CC=C23)C2=CC(NC3=CC=CC4=C([*])C=CC=C34)=CC=C2C2=CC(OC)=C(OC)C=C21,551,365,635,1.2,94.8,0.17,106.3,3443.45,7.7,20.2,2.623376623
10,[*]c%11ccc(Oc%10ccc(NC(=O)c9ccc8c(=O)n(c7ccc(Oc6ccc(NC(=O)c5ccc4c(=O)n(c3cccc(NC(=O)c2ccc1c(=O)n([*])c(=O)c1c2)c3)c(=O)c4c5)cc6)cc7)c(=O)c8c9)cc%10)cc%11,564,695,852,1.4,165,0.23,77.8,2750.31,0.036,0.22,6.111111111
